mention_text,lat,lon,valid
BAHRAIN,26.056089401245117,50.542110443115234,1
North Pole Area Western Australia,-25.46647071838379,122.18177795410156,1
Wyoming,42.99962615966797,-107.55144500732422,1
Gongylina,52.17441,20.45333,1
Hayborne Cay Bahamas Carbohydrate,23.64954,-74.83692,1
Luoping area Yunnan Province Southwest China,24.884679794311523,104.30870056152344,1
shallow subtidal region,63.13799285888672,-92.45469665527344,1
Konhauser,-1,-1,0
Gahkum Mountain,-1,-1,0
Hungary Stromatolites,47.165287017822266,19.412185668945312,1
Ural Mountains Harz Mountains Germany  England,51.61868667602539,10.748417854309082,1
Frying Pan Lake Pan Lake,47.42102813720703,-92.28553771972656,1
Hills Fofatn Brassey,13.240180015563965,-5.120259761810303,1
Preat,50.45561,4.49787,1
Jahnke L Embaye T Hope J Turk,37.51579284667969,-77.51753997802734,1
Browne,74.82610321044922,-96.36686706542969,1
Washington,47.411376953125,-120.5563735961914,1
A Cape Recife,-8.05518913269043,-34.871177673339844,1
Feibel,-1,-1,0
Berlin Germany Springer-Verlag,52.50147247314453,13.402316093444824,1
Monty,30.042978286743164,-91.05704498291016,1
greenhouse conditions southwestern Amazon,41.41597366333008,20.905166625976562,1
Waikite New Zealand,-38.3388,176.271,1
Petro-Canada,62.5742073059082,-96.60790252685547,1
Handley,38.18635940551758,-81.36261749267578,1
western North Amenca,43.30561065673828,-75.38327026367188,1
Uruguay Piedras,-34.71840286254883,-56.21112823486328,1
Ajjers Basin Eastern Sahara Algeria,36.74158,3.04384,1
Janeiro - Brazil Universidade Federal,-22.901447296142578,-43.178916931152344,1
Pradella Mt. Oncolites,46.800804138183594,10.322510719299316,1
sedimentary basin,44.29499,20.84743,1
Soplao Cantabria Spain,43.19733428955078,-4.03280782699585,1
Mushandike basin,-20.1054,28.59356,1
Taupo Volcanic Zone,-38.68370056152344,176.07000732421875,1
Mengcun and Helv,38.053409576416016,117.10417938232422,1
basin-facies change Great Slave Lake Canada,61.80100631713867,-113.7847671508789,1
Eastern Cape,-32.15367889404297,26.446401596069336,1
